"referenceType","referenceId","domainOrGroup","english","preferredArabic","alternateArabic","direction","englishExactMatchCount","preferredArabicExactMatchCount","alternateArabicExactMatchCount","englishFiles","preferredArabicFiles","alternateArabicFiles","coverageStatus","notes"
"Terminology","TERM-001","INT","Open-Source Intelligence (OSINT)","الاستخبارات مفتوحة المصدر","الاستخبارات من المصادر المفتوحة","LTR acronym","0","0","0","","","","No exact locale match found","Use the full Arabic term on first mention; OSINT may follow in parentheses."
"Terminology","TERM-002","INT","Geospatial Intelligence (GEOINT)","الاستخبارات الجغرافية المكانية","الاستخبارات الجغرافية","LTR acronym","0","0","0","","","","No exact locale match found","Use GEOINT only in technical contexts."
"Terminology","TERM-003","INT","Situational Awareness","الوعي بالموقف","الوعي الظرفي","RTL","0","0","0","","","","No exact locale match found","Preferred platform-wide term."
"Terminology","TERM-004","INT","Signal","إشارة استخباراتية","إشارة","RTL","1","0","1","pro-test/src/locales/en.json","","pro-test/src/locales/ar.json","Alternate or avoided Arabic found","Use “إشارة” only where the intelligence context is already clear."
"Terminology","TERM-005","INT","Observation","ملاحظة رصد","ملاحظة","RTL","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Not equivalent to a verified fact."
"Terminology","TERM-006","INT","Event","حدث استخباراتي","واقعة","RTL","0","0","0","","","","No exact locale match found","Use “حدث” in UI; definition must remain available."
"Terminology","TERM-007","INT","Assessment","تقدير تحليلي","تقييم","RTL","0","0","0","","","","No exact locale match found","Do not label machine output as analyst assessment."
"Terminology","TERM-008","INT","Analyst Judgment","حكم المحلل","رأي المحلل","RTL","0","0","0","","","","No exact locale match found","Reserve for approved analyst input."
"Terminology","TERM-009","INT","Verified Fact","حقيقة موثقة","حقيقة مؤكدة","RTL","0","0","0","","","","No exact locale match found","Do not use merely because a source is official."
"Terminology","TERM-010","INT","Source Claim","ادعاء من المصدر","رواية المصدر","RTL","0","0","0","","","","No exact locale match found","Always preserve attribution."
"Terminology","TERM-011","INT","Preliminary Indicator","مؤشر أولي","إشارة أولية","RTL","0","0","0","","","","No exact locale match found","Common for social, Telegram and anomaly data."
"Terminology","TERM-012","INT","Machine Inference","استنتاج آلي","تحليل آلي","RTL","0","0","0","","","","No exact locale match found","Show model, evidence and confidence."
"Terminology","TERM-013","INT","Forecast","توقع","تنبؤ","RTL","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Use “توقع” for intelligence products."
"Terminology","TERM-014","INT","Scenario","سيناريو","فرضية مستقبلية","RTL","0","0","0","","","","No exact locale match found","Do not present as prediction."
"Terminology","TERM-015","INT","Confidence","درجة الثقة","مستوى الثقة","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Keep distinct from severity."
"Terminology","TERM-016","INT","Corroboration","تأييد مستقل","تأكيد","RTL","0","0","0","","","","No exact locale match found","Independence must be assessed, not assumed."
"Terminology","TERM-017","INT","Contradiction","تعارض في المعلومات","تناقض","RTL","0","0","0","","","","No exact locale match found","Expose in evidence view."
"Terminology","TERM-018","INT","Intelligence Gap","فجوة استخباراتية","نقص معلومات","RTL","0","0","0","","","","No exact locale match found","Use in analyst and executive briefs."
"Terminology","TERM-019","INT","Source Convergence","تقارب المصادر","تطابق المصادر","RTL","0","0","0","","","","No exact locale match found","Do not count syndicated copies as independent."
"Terminology","TERM-020","INT","Cross-Domain Correlation","الربط بين المجالات","الترابط متعدد المجالات","RTL","0","0","0","","","","No exact locale match found","Preferred analytical term."
"Terminology","TERM-021","GEO","Geopolitical Hotspot","بؤرة جيوسياسية ساخنة","منطقة ساخنة","RTL","0","0","0","","","","No exact locale match found","Avoid sensational wording."
"Terminology","TERM-022","GEO","Conflict Zone","منطقة نزاع","منطقة صراع","RTL","3","2","1","src/locales/en.json","src/locales/ar.json","src/locales/ar.json","Preferred Arabic found","Use source and time context."
"Terminology","TERM-023","GEO","Civil Unrest","اضطرابات مدنية","اضطرابات شعبية","RTL","0","0","0","","","","No exact locale match found","Use neutral institutional wording."
"Terminology","TERM-024","GEO","Cross-Border Escalation","تصعيد عابر للحدود","تصعيد حدودي","RTL","0","0","0","","","","No exact locale match found","Use when geography is verified."
"Terminology","TERM-025","GEO","Sanctions","عقوبات","جزاءات","RTL","2","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Specify issuing authority."
"Terminology","TERM-026","GEO","Travel Advisory","إرشاد سفر رسمي","تحذير سفر","RTL","0","0","0","","","","No exact locale match found","Preserve issuer and date."
"Terminology","TERM-027","GEO","Country Instability Score","مؤشر عدم استقرار الدولة","درجة اضطراب الدولة","RTL","0","0","0","","","","No exact locale match found","Show methodology and data cutoff."
"Terminology","TERM-028","GEO","Strategic Risk","مخاطر استراتيجية","خطر استراتيجي","RTL","0","0","0","","","","No exact locale match found","Use plural for category labels."
"Terminology","TERM-029","GEO","Displacement Flow","تدفق النزوح","حركة النزوح","RTL","0","0","0","","","","No exact locale match found","Distinguish refugees, asylum-seekers and IDPs."
"Terminology","TERM-030","DEF","Military Base","قاعدة عسكرية","منشأة عسكرية","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Use the more specific term when known."
"Terminology","TERM-031","DEF","Force Posture","وضع القوات","تموضع القوات","RTL","0","0","0","","","","No exact locale match found","Preferred defence-analysis term."
"Terminology","TERM-032","DEF","Military Surge","حشد عسكري متزايد","تصعيد عسكري","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Requires baseline and confidence."
"Terminology","TERM-033","DEF","Strike Package","تشكيل ضربة جوية","حزمة ضربة","RTL","0","0","0","","","","No exact locale match found","Use only when evidence supports the interpretation."
"Terminology","TERM-034","DEF","Theatre Posture","الوضع العسكري على مستوى مسرح العمليات","وضع المسرح","RTL","0","0","0","","","","No exact locale match found","Use in defence briefs."
"Terminology","TERM-035","DEF","Military Aviation","الطيران العسكري","الطيران الحربي","RTL","0","0","0","","","","No exact locale match found","Preferred neutral term."
