sourceId,nameOriginal,domainCodes,collectionMethod,authentication,environmentVariable,licence,status,dataNature,fallbackSourceId,surfaces,sourceFiles,registrations,limitations,runtimeVerificationRequired
src-finnhub,Finnhub Market API,finance;market,REST API,API Key,FINNHUB_API_KEY,Proprietary / Free Tier,credential required,Real-time / Delayed Market Quotes,src-yahoo,Markets Panel; Sector Heatmap,server/worldmonitor/market/handler.ts; api/_api-key.js,server/gateway.ts,60 req/min rate limit on free tier,true
src-yahoo,Yahoo Finance,finance;market,REST API,None,none,Proprietary / Public,implemented and active,Market Quotes & ETF Flows,src-coinpaprika,Markets; Commodities; Crypto Panels,server/worldmonitor/market/handler.ts,server/gateway.ts,150ms request staggering required to avoid HTTP 429,true
src-fred,Federal Reserve Economic Data (FRED),finance;macro,REST API,API Key,FRED_API_KEY,Public Domain,credential required,Macroeconomic Time Series,none,Economic Data; Supply Chain Minerals,server/worldmonitor/market/handler.ts,server/gateway.ts,Max 15 series per batch request,true
src-eia,U.S. Energy Information Administration (EIA),energy;commodity,REST API,API Key,EIA_API_KEY,Public Domain,credential required,Energy Petroleum & Gas Stocks,none,Energy Security Panel; Oil & Gas Layer,api/eia.js; server/worldmonitor/energy/handler.ts,server/gateway.ts,Requires EIA registration,true
src-acled,Armed Conflict Location & Event Data (ACLED),conflict;military,REST API Seeder,OAuth / Token,ACLED_EMAIL;ACLED_PASSWORD;ACLED_ACCESS_TOKEN,Academic / Commercial Licence,credential required,Geopolitical Conflict Events,src-ucdp,Conflict Map Layer; CII Risk Scoring,scripts/seed-conflict-intel.mjs,scripts/run-seeders.sh,Tokens expire every 24h; OAuth auto-refreshes,true
src-ucdp,Uppsala Conflict Data Program (UCDP),conflict;military,REST API Seeder,None,none,CC BY 4.0,implemented and active,Historical & Active Conflict Deaths,src-acled,UCDP Panel; Conflict Layer; CII v8 Floor,scripts/seed-ucdp.mjs; scripts/ais-relay.cjs,scripts/run-seeders.sh,Trailing 2-year window for CII v8 classification,true
src-nasa-firms,NASA FIRMS Satellite Thermal Anomaly,climate;disaster,REST API Seeder,API Key,NASA_FIRMS_API_KEY,NASA Open Data Policy,credential required,Satellite Wildfire Detections,none,FIRMS Wildfire Map Layer,scripts/seed-fire-detections.mjs,scripts/run-seeders.sh,MAP_KEY required for FIRMS API,true
src-usgs,USGS Earthquake Hazards Program,disaster;geology,GeoJSON Seeder,None,none,Public Domain,implemented and active,Earthquake Events & Magnitudes,none,Earthquakes Map Layer; CII Boost,scripts/seed-earthquakes.mjs,scripts/run-seeders.sh,Uses 4.5_week feed for CII v4+,true
src-aviationstack,AviationStack Delay & Flight Data,aviation,REST API Seeder,API Key,AVIATIONSTACK_API,Proprietary / Free Tier,credential required,Airport Delays & Cancellations,src-opensky,Aviation Panel; Airport Delay Layer,scripts/ais-relay.cjs; api/aviation/v1/flights,scripts/run-seeders.sh,Monthly API quota limit on free tier,true
src-opensky,OpenSky Network ADS-B Flight Vectors,aviation;military,REST API / Seeder,Optional Auth,OPENSKY_USERNAME;OPENSKY_PASSWORD,Open Data,implemented and active,ADS-B State Vectors & Military Flights,src-wingbits,Military Flight Tracker Layer; Theater Posture,scripts/seed-military-flights.mjs; api/aviation/v1/flights,server/gateway.ts,Anonymous tier subject to rate limits,true
src-wingbits,Wingbits ADS-B & Jamming H3 Grid,aviation;cyber;military,REST API,None,none,Proprietary / Open,implemented and active,GPS/GNSS Jamming H3 Hexagons,src-opensky,GPS Jamming Layer; CII Security Score,scripts/seed-gpsjam.mjs; api/aviation/v1/flights,server/gateway.ts,Wingbits API rate limits apply,true
src-aisstream,AISStream Real-Time Maritime Stream,maritime;chokepoints,WebSocket Stream,API Key,AISSTREAM_API_KEY,Proprietary / Free Tier,credential required,Live AIS Ship Positions & Chokepoint Transit,src-portwatch,Vessel Tracking Layer; Chokepoints Panel,scripts/ais-relay.cjs,scripts/run-seeders.sh,Persistent WebSocket connection required,true
src-portwatch,IMF PortWatch Maritime Chokepoint Data,maritime;chokepoints,ArcGIS REST API,None,none,IMF Open Data,implemented and active,Chokepoint Transit Vessel Counts,src-aisstream,Chokepoint Intelligence Panel,scripts/seed-chokepoints.mjs; scripts/ais-relay.cjs,scripts/run-seeders.sh,ArcGIS endpoint schema subject to updates,true
src-corridor-risk,CorridorRisk Maritime Risk Intelligence,maritime;security,REST API Seeder,None,none,Proprietary / Public,implemented and active,Corridor Threat & Risk Scores,src-portwatch,Chokepoint Intelligence Panel,scripts/ais-relay.cjs,scripts/run-seeders.sh,Requires relay proxying,true
src-cloudflare-radar,Cloudflare Radar Outages & BGP,cyber;infrastructure,REST API,API Token,CLOUDFLARE_API_TOKEN,Proprietary / Paid,credential required,Internet Outages & BGP Anomalies,none,Cyber Threats; Internet Outages Panel,api/cyber/v1/internet-outages,server/gateway.ts,Paid Cloudflare Radar tier required,true
src-feodo-tracker,Abuse.ch Feodo Tracker,cyber;security,HTTP API,None,none,CC0 1.0,implemented and active,Botnet C2 IP Infrastructure,src-urlhaus,Cyber Threat Map Layer,api/cyber-threats.js,server/gateway.ts,Public feed updated hourly,true
src-urlhaus,Abuse.ch URLhaus,cyber;security,HTTP API,None,none,CC0 1.0,implemented and active,Malicious Payload Distribution URLs,src-otx,Cyber Threat Map Layer,api/cyber-threats.js,server/gateway.ts,High-volume threat feed,true
src-c2intelfeeds,C2IntelFeeds Botnet C2,cyber;security,HTTP API,None,none,Open Source,implemented and active,Active C2 Server IP Addresses,src-feodo-tracker,Cyber Threat Map Layer,api/cyber-threats.js,server/gateway.ts,Community threat feed,true
src-otx,AlienVault Open Threat Exchange (OTX),cyber;security,REST API,API Key,OTX_API_KEY,Proprietary / Free,credential required,Threat Pulses & IOC Indicators,src-feodo-tracker,Cyber Threat Map Layer,api/cyber-threats.js,server/gateway.ts,Requires AlienVault account,true
src-abuseipdb,AbuseIPDB IP Reputation,cyber;security,REST API,API Key,ABUSEIPDB_API_KEY,Proprietary / Free,credential required,IP Abuse Reports & Confidence Scores,none,Cyber Threat Map Layer,api/cyber-threats.js,server/gateway.ts,1000 check requests/day free tier,true
src-telegeography,TeleGeography Submarine Cables,infrastructure;telecom,HTTP API Seeder,None,none,Creative Commons BY-SA,implemented and active,86 Undersea Cable Routes & Landings,none,Submarine Cables Map Layer,scripts/seed-submarine-cables.mjs; data/cables.json,scripts/run-seeders.sh,Static JSON backup when API unreach,true
src-bis,Bank for International Settlements (BIS),finance;macro,HTTP API Seeder,None,none,BIS Open Data,implemented and active,International Banking & Credit-to-GDP,src-fred,Economic Data Panel; Country Briefs,scripts/seed-bis.mjs,scripts/run-seeders.sh,Updated quarterly by BIS,true
src-world-bank,World Bank Development Indicators,macro;economics,HTTP API Seeder,None,none,CC BY 4.0,implemented and active,National Macroeconomic Indicators,src-imf,Economic Data; Country Briefs,scripts/ais-relay.cjs,scripts/run-seeders.sh,Seeded on Railway relay loop,true
src-coingecko,CoinGecko / CoinPaprika Crypto API,finance;crypto,REST API,None,none,Proprietary / Free,implemented and active,Cryptocurrency & Stablecoin Prices,none,Crypto Radar Panel,server/worldmonitor/market/handler.ts,server/gateway.ts,CoinPaprika fallback on 429,true
src-polymarket,Polymarket Prediction Odds,prediction;geopolitics,REST API,None,none,Open Access,implemented and active,Geopolitical Prediction Market Odds,none,Prediction Markets Panel,scripts/ais-relay.cjs; api/prediction-markets.js,server/gateway.ts,Relay concurrency limiter protected,true
src-sec-edgar,U.S. SEC EDGAR Corporate Registry,corporate;finance,HTTP REST / Search,None,none,Public Domain,implemented and active,8-K Material Events & 10-K Filings,none,Corporate Intelligence; SEC Search,server/worldmonitor/intelligence/handler.ts,server/gateway.ts,Requires SEC User-Agent header,true
src-travelpayouts,Travelpayouts Aviation Search,aviation;travel,REST API,API Token,TRAVELPAYOUTS_API_TOKEN,Proprietary,credential required,Flight Search Trends,none,Airline Intelligence Panel,server/worldmonitor/aviation/handler.ts,server/gateway.ts,Optional aviation key,true
src-rss-curated,500+ Curated RSS/Atom Feeds,news;multi-domain,RSS/Atom XML,None,none,Publisher Terms,implemented and active,Global News & Security Advisories,none,Live News Panel; Breaking News Banner,shared/rss-domains.json; api/rss-proxy.js,server/gateway.ts,Proxied via edge & relay allowlist,true
src-telegram-osint,27 Curated Telegram OSINT Channels,news;osint,MTProto Stream,API Credentials,TELEGRAM_API_ID;TELEGRAM_API_HASH,Telegram Terms,credential required,Real-Time OSINT Telegram Posts,none,Telegram Intel Panel,data/telegram-channels.json; scripts/ais-relay.cjs,scripts/run-seeders.sh,MTProto session latching,true
src-oref,OREF Israel Sirens Real-Time Feed,disaster;security,HTTP Tunnel Poll,None,none,Public Alert System,implemented and active,Rocket & Missile Siren Alerts,none,Israel Sirens Panel; CII Security Boost,scripts/ais-relay.cjs; data/oref-translations.json,scripts/run-seeders.sh,Hebrew-to-English LLM translation,true
src-consumer-prices,Consumer Prices Scraper,finance;inflation,Playwright Scraper,None,none,Public Retail Data,implemented and active,Retail Basket Prices & Inflation,none,Consumer Prices Panel; World Inflation,consumer-prices-core/Dockerfile,docker-compose.yml,Scrapes per-country retail baskets,true
src-usni-fleet,USNI Fleet & Striking Forces,military;maritime,HTML Scraper,None,none,Public Domain,implemented and active,US Navy Carrier Group Positions,none,Naval Posture Map Layer,api/usni-fleet.js,server/gateway.ts,HTML regex parser dependency,true
src-groq,Groq Cloud LLM Inference,ai;synthesis,REST API,API Key,GROQ_API_KEY,Proprietary,credential required,AI Article Summarization,src-openrouter,World Brief; News Summarization,server/_shared/llm.ts,server/gateway.ts,14.4K req/day free tier,true
src-openrouter,OpenRouter Multi-Model LLM,ai;synthesis,REST API,API Key,OPENROUTER_API_KEY,Proprietary,credential required,AI Summarization Fallback,src-transformers-js,World Brief; News Summarization,server/_shared/llm.ts,server/gateway.ts,Free-tier auto-routing,true
src-ollama,Ollama Local Inference Server,ai;synthesis,Local REST API,Optional,LLM_API_URL;LLM_API_KEY;LLM_MODEL,Open Source,implemented and active,Air-Gapped AI Summarization,src-groq,Desktop Settings; Summarization Chain,public/settings.html; src/settings-main.ts,src-tauri/tauri.conf.json,Requires local Ollama daemon,true
src-gemini,Google Gemini AI API,ai;synthesis,Server SDK,API Key,GEMINI_API_KEY,Proprietary,credential required,Server-Side World Brief Synthesis,none,World Brief; Intelligence Synthesis,metadata.json; .env.example,server/gateway.ts,Server-side secret only; no VITE_ prefix,true
