environmentVariable,serverOrClientBoundary,requiredOrOptional,affectedSourceOrCapability,declaredIn,referencedBy,missingBehavior,notes
GEMINI_API_KEY,Server-Side Only,Required for AI Brief,/.env.example; metadata.json,server/worldmonitor/intelligence/handler.ts; server/_shared/llm.ts,World Brief falls back to Last-Known-Good cached brief,Must never have VITE_ prefix or reach client JS
FINNHUB_API_KEY,Server-Side Only,Optional,Finnhub Stock Quotes & Earnings,SELF_HOSTING.md; docker-compose.override.yml,server/worldmonitor/market/handler.ts; api/_api-key.js,Stock quotes fallback to Yahoo Finance; sector heatmap falls back,Free tier subject to 60 req/min
FRED_API_KEY,Server-Side Only,Optional,FRED Macro Economic Data,SELF_HOSTING.md; docker-compose.override.yml,server/worldmonitor/market/handler.ts,Returns HTTP 502 with skipped-no-api-key header,Free signup on St. Louis Fed
EIA_API_KEY,Server-Side Only,Optional,EIA Petroleum & Energy Data,SELF_HOSTING.md; docker-compose.override.yml,api/eia.js; server/worldmonitor/energy/handler.ts,Returns graceful empty payload,Free signup on U.S. EIA
ACLED_EMAIL,Server-Side Only,Optional,ACLED Conflict Event Data,SELF_HOSTING.md; docker-compose.override.yml,scripts/seed-conflict-intel.mjs,Seed job falls back to UCDP conflict events,Academic or commercial ACLED account
ACLED_PASSWORD,Server-Side Only,Optional,ACLED OAuth Authentication,SELF_HOSTING.md; docker-compose.override.yml,scripts/seed-conflict-intel.mjs,Seed job falls back to UCDP conflict events,Used in OAuth flow to refresh tokens
ACLED_ACCESS_TOKEN,Server-Side Only,Optional,ACLED Static Token,SELF_HOSTING.md; docker-compose.override.yml,scripts/seed-conflict-intel.mjs; src-tauri/sidecar/local-api-server.mjs,Static token expires every 24h if set,Alternative to OAuth flow
NASA_FIRMS_API_KEY,Server-Side Only,Optional,NASA FIRMS Wildfire Detections,SELF_HOSTING.md; docker-compose.override.yml,scripts/seed-fire-detections.mjs,Fire seeder skips update; server uses temporal baseline,Free signup on NASA Earthdata
AVIATIONSTACK_API,Server-Side Only,Optional,AviationStack Airport Delays,SELF_HOSTING.md; docker-compose.override.yml,scripts/ais-relay.cjs; api/aviation/v1/flights,Aviation layer falls back to OpenSky/NOTAM computation,Free signup on AviationStack
AISSTREAM_API_KEY,Server-Side Only,Optional,AISStream Real-Time Ship AIS,SELF_HOSTING.md; docker-compose.override.yml,scripts/ais-relay.cjs,Vessel positions fall back to PortWatch chokepoint counts,Free signup on AISStream
CLOUDFLARE_API_TOKEN,Server-Side Only,Optional,Cloudflare Radar Outages,SELF_HOSTING.md; docker-compose.override.yml,api/cyber/v1/internet-outages,Returns empty internet outages array,Requires paid Cloudflare Radar access
