"area","expectedEvidence","status","occurrenceCount","filePaths","limitation"
"Arabic application root","Arabic root language declaration","No evidence found in static scan","0","","Static text scan does not prove correct rendered behavior."
"RTL application root","RTL root or layout direction","Static evidence found; requires manual and runtime verification","32","blog-site/src/content/blog/worldmonitor-in-21-languages-global-intelligence-for-everyone.md;CHANGELOG.md;public/offline.html;src/styles/main.css;src/styles/rtl-overrides.css","Static text scan does not prove correct rendered behavior."
"Bidirectional isolation","LTR isolation for mixed-direction values","Static evidence found; requires manual and runtime verification","12","public/pro/assets/clerk-BFsXHhEQ.js;src/styles/main.css","Static text scan does not prove correct rendered behavior."
"Logical CSS properties","Logical layout properties","Static evidence found; requires manual and runtime verification","123","pro-test/prerender.mjs;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;src/components/NewsPanel.ts;src/styles/main.css;src/styles/panels.css","Static text scan does not prove correct rendered behavior."
"Physical left/right CSS","Potential RTL migration risk","Static evidence found; requires manual and runtime verification","1054","api/mcp/ui/market-radar-app.ts;api/mcp/ui/world-brief-app.ts;blog-site/src/styles/global.css;convex/broadcast/proLaunchEmailContent.ts;convex/payments/subscriptionEmails.ts;docs/climate-variant-full.md;docs/dev-artifacts/brief-palette-playground.html;docs/solutions/best-practices/test-guard-assertions-and-module-state-reset.md;e2e/brief-magazine.spec.ts;e2e/country-deep-dive-visibility.spec.ts;e2e/dashboard-news-request-budget.spec.ts;e2e/mobile-map-popup.spec.ts;e2e/prehydration-shell.spec.ts;e2e/widget-builder.spec.ts;index.html;mcp-grant.html;pro-test/prerender.mjs;pro-test/src/services/checkout.ts;pro-test/src/welcome-language.ts;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;public/pro/assets/index-Dr94wGgp.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;scripts/_digest-markdown.mjs;scripts/_prediction-classify.mjs;scripts/build-crawlable-corpus.mjs;scripts/build-research-reports.mjs;scripts/lib/email-summary-html.mjs;...+84 more","Static text scan does not prove correct rendered behavior."
"Arabic locale formatting","Arabic locale-aware formatting","No evidence found in static scan","0","","Static text scan does not prove correct rendered behavior."
"Dubai timezone","Operational timezone indicator","Static evidence found; requires manual and runtime verification","5","src/components/WorldClockPanel.ts;src/config/geo-map.ts;src/services/notifications-settings.ts;src/utils/user-location.ts","Static text scan does not prove correct rendered behavior."
"Reduced motion","Reduced-motion support","Static evidence found; requires manual and runtime verification","20","public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;src/components/DeckGLMap.ts;src/services/celebration.ts;src/styles/happy-theme.css;src/styles/main.css;tests/map-trade-animation-loop.test.mjs","Static text scan does not prove correct rendered behavior."
"Visible focus","Visible keyboard focus support","Static evidence found; requires manual and runtime verification","64","public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;src/styles/embed.css;src/styles/main.css;src/styles/route-explorer.css;tests/a11y-issue-5059-invariants.test.mjs","Static text scan does not prove correct rendered behavior."
"Responsive media queries","Responsive behavior","Static evidence found; requires manual and runtime verification","100","blog-site/src/styles/global.css;index.html;pro-test/prerender.mjs;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;server/_shared/brief-render.js;src/components/ForecastPanel.ts;src/components/ThreatTimelinePanel.ts;src/styles/country-deep-dive.css;src/styles/embed.css;src/styles/happy-theme.css;src/styles/main.css;src/styles/panels.css;src/styles/settings-window.css;src/utils/index.ts;tests/pro-critical-css.test.mjs;tests/skeleton-app-footprint-parity.test.mjs","Static text scan does not prove correct rendered behavior."
"Accessible labels","Accessible names and labels","Static evidence found; requires manual and runtime verification","406","api/mcp/billing-denial.ts;api/mcp/prompts/index.ts;api/oauth/authorize.js;e2e/a11y-landmarks-tablist.spec.ts;e2e/prehydration-shell.spec.ts;e2e/pro-activation.spec.ts;index.html;pro-test/prerender.mjs;pro-test/src/App.tsx;pro-test/src/components/Logo.tsx;pro-test/src/services/checkout.ts;pro-test/src/welcome/Nav.tsx;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;public/pro/assets/index-Dr94wGgp.js;public/pro/assets/sentry-BCD7T6Eu.js;public/pro/assets/welcome-CR8kjeDt.js;public/pro/index.html;public/pro/welcome.html;scripts/_forecast-resolution.mjs;scripts/build-crawlable-corpus.mjs;scripts/build-research-reports.mjs;server/_shared/brief-render.js;settings.html;src/App.ts;src/app/desktop-updater.ts;src/app/event-handlers.ts;src/app/i18n-raw-key-healer.ts;src/app/panel-layout.ts;src/bootstrap/sentry-init.ts;...+89 more","Static text scan does not prove correct rendered behavior."
