"area","claim","status","filePath","symbolOrSection","verificationMethod","limitation"
"Map layers and geospatial visualizations","Repository contains 21 tracked path(s) matching this capability family.","Requires runtime verification","docs/archive/todos/159-pending-p2-globe-flush-polygons-scenario-precompute.md;public/data/countries.geojson;public/data/country-boundary-overrides.geojson;scripts/_gem-geojson-to-canonical.py;src/bootstrap/globe-marker-probe.ts;src/components/GlobeMap.ts;src/components/resilience-choropleth-utils.ts;src/config/map-layer-definitions.ts;src/services/globe-render-settings.ts;src/types/globe-gl.d.ts;src/utils/globe-marker-budget.ts;tests/countries-geojson.test.mjs;tests/dom/globe-premium-layer-gate.test.mts;tests/globe-2d-3d-parity.test.mjs;tests/globe-default-map-mode.test.mts;tests/globe-marker-budget.test.mts;tests/globe-marker-probe.test.mts;tests/globe-tooltip-enrichment.test.mjs;tests/map-layer-executable.test.mts;tests/map-layer-initial-url-gate.test.mts;...+1 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Panels, workspaces, and variants","Repository contains 326 tracked path(s) matching this capability family.","Requires runtime verification",".github/pr-assets/world-variant.png;.github/screenshots/add-panel-block.png;api/_wildfire-dashboard.d.ts;api/_wildfire-dashboard.js;blog-site/public/images/blog/energy-security-dashboard-worldmonitor.jpg;blog-site/public/images/blog/energy-security-dashboard-worldmonitor.webp;blog-site/public/images/blog/energy-security-dashboard-worldmonitor-640.webp;blog-site/public/images/blog/five-dashboards-one-platform-worldmonitor-variants.jpg;blog-site/public/images/blog/five-dashboards-one-platform-worldmonitor-variants.webp;blog-site/public/images/blog/five-dashboards-one-platform-worldmonitor-variants-640.webp;blog-site/public/images/blog/free-vs-paid-real-time-intelligence-dashboards.jpg;blog-site/public/images/blog/free-vs-paid-real-time-intelligence-dashboards.webp;blog-site/public/images/blog/free-vs-paid-real-time-intelligence-dashboards-640.webp;blog-site/public/images/blog/positive-news-dashboard-happy-worldmonitor.jpg;blog-site/public/images/blog/positive-news-dashboard-happy-worldmonitor.webp;blog-site/public/images/blog/positive-news-dashboard-happy-worldmonitor-640.webp;blog-site/public/images/blog/self-host-worldmonitor-open-source-osint-dashboard.jpg;blog-site/public/images/blog/self-host-worldmonitor-open-source-osint-dashboard.webp;blog-site/public/images/blog/self-host-worldmonitor-open-source-osint-dashboard-640.webp;blog-site/public/images/blog/supply-chain-early-warning-dashboard-worldmonitor-api.jpg;...+306 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Alerts, notifications, and watchlists","Repository contains 79 tracked path(s) matching this capability family.","Requires runtime verification","api/_notification-webhook-ssrf.ts;api/notification-channels.ts;api/oref-alerts.js;blog-site/public/images/blog/alerts-notification-channels-worldmonitor.jpg;blog-site/public/images/blog/alerts-notification-channels-worldmonitor.webp;blog-site/public/images/blog/alerts-notification-channels-worldmonitor-640.webp;blog-site/public/images/blog/geopolitical-risk-alerts-slack-teams-worldmonitor-api.jpg;blog-site/public/images/blog/geopolitical-risk-alerts-slack-teams-worldmonitor-api.webp;blog-site/public/images/blog/geopolitical-risk-alerts-slack-teams-worldmonitor-api-640.webp;blog-site/src/content/blog/alerts-notification-channels-worldmonitor.md;blog-site/src/content/blog/geopolitical-risk-alerts-slack-teams-worldmonitor-api.md;convex/__tests__/alertRules.test.ts;convex/__tests__/alertRules-countries.test.ts;convex/__tests__/alertRules-tickers.test.ts;convex/__tests__/alertRules-visibility.test.ts;convex/__tests__/notificationChannels.test.ts;convex/alertRules.ts;convex/notificationChannels.ts;Dockerfile.digest-notifications;docs/api-notifications.mdx;...+59 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Reports, briefs, and exports","Repository contains 303 tracked path(s) matching this capability family.","Requires runtime verification",".github/ISSUE_TEMPLATE/bug_report.yml;api/brief/[userId]/[issueDate].ts;api/brief/carousel/[userId]/[issueDate]/[page].ts;api/brief/public/[hash].ts;api/brief/share-url.ts;api/internal/brief-why-matters.ts;api/latest-brief.ts;api/mcp/ui/country-brief-app.ts;api/mcp/ui/world-brief-app.ts;api/security/report.js;api/security/report.test.mjs;audit/s01-environment-report.json;audit/s01-environment-report.txt;blog-site/public/images/blog/daily-intelligence-briefing-workflow-15-minutes.jpg;blog-site/public/images/blog/daily-intelligence-briefing-workflow-15-minutes.webp;blog-site/public/images/blog/daily-intelligence-briefing-workflow-15-minutes-640.webp;blog-site/src/content/blog/daily-intelligence-briefing-workflow-15-minutes.md;consumer-prices-core/src/snapshots/coverage.test.ts;consumer-prices-core/src/snapshots/coverage.ts;consumer-prices-core/src/snapshots/worldmonitor.test.ts;...+283 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"AI-assisted and analytical capabilities","Repository contains 309 tracked path(s) matching this capability family.","Requires runtime verification","api/correlation-runtime-mode.js;api/forecast/v1/[rpc].ts;api/mcp/registry/analysis-tools.ts;api/mcp/ui/forecasts-app.ts;api/scenario/v1/[rpc].ts;api/scenario/v1/run.ts;api/scenario/v1/status.ts;api/scenario/v1/templates.ts;audit/s03-baseline-summary.txt;audit/s04-architecture-summary.json;audit/s04-summary.txt;blog-site/public/images/blog/ai-forecast-accuracy-brier-scorecard-worldmonitor.jpg;blog-site/public/images/blog/ai-forecast-accuracy-brier-scorecard-worldmonitor.webp;blog-site/public/images/blog/ai-forecast-accuracy-brier-scorecard-worldmonitor-640.webp;blog-site/public/images/blog/prediction-markets-ai-forecasting-geopolitics.jpg;blog-site/public/images/blog/prediction-markets-ai-forecasting-geopolitics.webp;blog-site/public/images/blog/prediction-markets-ai-forecasting-geopolitics-640.webp;blog-site/public/images/blog/stress-test-supply-chain-scenario-engine-worldmonitor.jpg;blog-site/public/images/blog/stress-test-supply-chain-scenario-engine-worldmonitor.webp;blog-site/public/images/blog/stress-test-supply-chain-scenario-engine-worldmonitor-640.webp;...+289 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Source health and freshness","Repository contains 120 tracked path(s) matching this capability family.","Requires runtime verification",".github/workflows/pro-bundle-freshness.yml;.github/workflows/seed-freshness-monitor.yml;api/_china-decision-health.js;api/_content-freshness.js;api/analytics-health.js;api/analytics-health.test.mjs;api/health.js;api/health/v1/[rpc].ts;api/health-cors.test.mjs;api/mcp/freshness.ts;api/seed-health.js;blog-site/public/images/blog/disease-outbreak-air-quality-monitoring-health-signals.jpg;blog-site/public/images/blog/disease-outbreak-air-quality-monitoring-health-signals.webp;blog-site/public/images/blog/disease-outbreak-air-quality-monitoring-health-signals-640.webp;blog-site/src/content/blog/disease-outbreak-air-quality-monitoring-health-signals.md;consumer-prices-core/src/api/routes/health.ts;docs/api/HealthService.openapi.json;docs/api/HealthService.openapi.yaml;docs/archive/todos/070-pending-p2-framework-selector-refresh-stale-fallback.md;docs/health-endpoints.mdx;...+100 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Search and command functions","Repository contains 102 tracked path(s) matching this capability family.","Requires runtime verification","api/mcp/filters.ts;api/research/v1/[rpc].ts;api/symbol-search.ts;blog-site/public/images/blog/command-palette-search-everything-instantly.jpg;blog-site/public/images/blog/command-palette-search-everything-instantly.webp;blog-site/public/images/blog/command-palette-search-everything-instantly-640.webp;blog-site/scripts/generate-research-og-images.mjs;blog-site/src/content/blog/command-palette-search-everything-instantly.md;consumer-prices-core/src/adapters/exa-search.ts;consumer-prices-core/src/adapters/search.smoke.ts;consumer-prices-core/src/adapters/search.test.ts;consumer-prices-core/src/adapters/search.ts;consumer-prices-core/tests/unit/search-extract-size.test.ts;docs/agent-discovery.mdx;docs/api/ResearchService.openapi.json;docs/api/ResearchService.openapi.yaml;docs/plans/2026-05-17-001-fix-feelgood-lifestyle-filter-plan.md;docs/premium-finance-search.mdx;docs/research/reports/strait-of-hormuz-transit-report-2026-07/30-day-review-plan.md;docs/research/reports/strait-of-hormuz-transit-report-2026-07/distribution-brief.md;...+82 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Country, regional, and executive products","Repository contains 182 tracked path(s) matching this capability family.","Requires runtime verification","api/mcp/ui/country-brief-app.ts;api/mcp/ui/country-risk-app.ts;api/mcp/ui/world-brief-app.ts;api/supply-chain/v1/country-products.ts;blog-site/public/images/blog/country-instability-index-methodology-explained.jpg;blog-site/public/images/blog/country-instability-index-methodology-explained.webp;blog-site/public/images/blog/country-instability-index-methodology-explained-640.webp;blog-site/public/images/blog/country-resilience-index-methodology-explained.jpg;blog-site/public/images/blog/country-resilience-index-methodology-explained.webp;blog-site/public/images/blog/country-resilience-index-methodology-explained-640.webp;blog-site/public/images/blog/country-risk-monitoring-due-diligence-worldmonitor.jpg;blog-site/public/images/blog/country-risk-monitoring-due-diligence-worldmonitor.webp;blog-site/public/images/blog/country-risk-monitoring-due-diligence-worldmonitor-640.webp;blog-site/public/images/blog/country-risk-monitoring-workflow-for-analysts.jpg;blog-site/public/images/blog/country-risk-monitoring-workflow-for-analysts.webp;blog-site/public/images/blog/country-risk-monitoring-workflow-for-analysts-640.webp;blog-site/src/content/blog/country-instability-index-methodology-explained.md;blog-site/src/content/blog/country-resilience-index-methodology-explained.md;blog-site/src/content/blog/country-risk-monitoring-due-diligence-worldmonitor.md;blog-site/src/content/blog/country-risk-monitoring-workflow-for-analysts.md;...+162 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Aviation and airspace","Repository contains 96 tracked path(s) matching this capability family.","Requires runtime verification","api/aviation/v1/[rpc].ts;api/opensky.js;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices.jpg;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices.webp;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices-640.webp;blog-site/src/content/blog/aviation-intelligence-airports-airspace-flight-prices.md;docs/api/AviationService.openapi.json;docs/api/AviationService.openapi.yaml;e2e/map-harness.spec.ts-snapshots/layer-finance-flights-z5.png;e2e/map-harness.spec.ts-snapshots/layer-full-flights-z5.png;e2e/map-harness.spec.ts-snapshots/layer-tech-flights-z5.png;proto/worldmonitor/aviation/v1/airport_delay.proto;proto/worldmonitor/aviation/v1/aviation_news_item.proto;proto/worldmonitor/aviation/v1/carrier.proto;proto/worldmonitor/aviation/v1/flight_instance.proto;proto/worldmonitor/aviation/v1/get_airport_ops_summary.proto;proto/worldmonitor/aviation/v1/get_carrier_ops.proto;proto/worldmonitor/aviation/v1/get_flight_status.proto;proto/worldmonitor/aviation/v1/get_youtube_live_stream_info.proto;proto/worldmonitor/aviation/v1/list_airport_delays.proto;...+76 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
"Maritime and supply chains","Repository contains 233 tracked path(s) matching this capability family.","Requires runtime verification",".github/ISSUE_TEMPLATE/bug_report.yml;api/customer-portal.ts;api/maritime/v1/[rpc].ts;api/mcp/ui/chokepoint-monitor-app.ts;api/security/report.js;api/security/report.test.mjs;api/v2/shipping/[rpc].ts;api/v2/shipping/webhooks/[subscriberId].ts;api/v2/shipping/webhooks/[subscriberId]/[action].ts;audit/s01-environment-report.json;audit/s01-environment-report.txt;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices.jpg;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices.webp;blog-site/public/images/blog/aviation-intelligence-airports-airspace-flight-prices-640.webp;blog-site/public/images/blog/energy-shock-monitoring-chokepoints-worldmonitor.jpg;blog-site/public/images/blog/energy-shock-monitoring-chokepoints-worldmonitor.webp;blog-site/public/images/blog/energy-shock-monitoring-chokepoints-worldmonitor-640.webp;blog-site/public/images/blog/hormuz-chokepoint-crisis.png;blog-site/public/images/blog/hormuz-chokepoint-crisis.webp;blog-site/public/images/blog/hormuz-chokepoint-crisis-640.webp;...+213 more","Path-level evidence; manual symbol trace required","git ls-files plus deterministic path-pattern extraction","Presence does not prove active registration, entitlement, provider availability, or runtime success."
