"capabilityId","name","status","evidence","filePath","replacement","reactivationPolicy","notes"
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=3; lines=100;77;97",".github/workflows/build-desktop.yml","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=96","api/_api-key.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'sunset'; occurrences=1; lines=225","api/_bootstrap-tier-keys.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=59","api/_convex-error.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=56","api/_cors.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=1; lines=5","api/_idempotency.d.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=9; lines=155;158;161;189;195;198;210;80;97","api/_idempotency.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=7; lines=123;13;146;33;68;96","api/_oauth-token.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=2; lines=143;155","api/_rate-limit.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=212","api/_rate-limit.test.mjs","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=1; lines=19","api/_sentry-common.test.mjs","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=16","api/_upstash-json.d.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=330","api/api-route-exceptions.json","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=5; lines=107;215;219;240;299","api/bootstrap.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'sunset'; occurrences=1; lines=37","api/bootstrap.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=4; lines=675;735;736;747","api/bootstrap-auth.test.mjs","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=8; lines=13;27;36;39;43;50;57;61","api/correlation-runtime-mode.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=1; lines=155","api/create-checkout.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=1; lines=81","api/customer-portal.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=3","api/data/city-coords.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=2; lines=19;31","api/gpsjam.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Disabled; requires feature-state review","Keyword 'disabled'; occurrences=1; lines=745","api/health.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=5; lines=1061;11;1117;1400;828","api/health.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'retired'; occurrences=2; lines=354;815","api/health.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'sunset'; occurrences=2; lines=104;745","api/health.js","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'retired'; occurrences=2; lines=434;458","api/internal/brief-why-matters.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=32","api/mcp.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=4; lines=141;324;40;435","api/mcp/auth.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated","Keyword 'deprecated'; occurrences=2; lines=214;274","api/mcp/constants.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=3; lines=188;26;7","api/mcp/constants.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=79","api/mcp/jmespath.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=25","api/mcp/quota.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Sunset","Keyword 'sunset'; occurrences=1; lines=47","api/mcp/registry/cache-tools.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated","Keyword 'deprecated'; occurrences=5; lines=138;143;144;152;183","api/mcp/registry/company-intel-tools.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated","Keyword 'deprecated'; occurrences=1; lines=107","api/mcp/registry/index.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=107","api/mcp/registry/index.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated","Keyword 'deprecated'; occurrences=2; lines=121;264","api/mcp/types.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=2; lines=264;69","api/mcp/types.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
"UNRESOLVED","Requires manual identification","Deprecated or legacy; requires review","Keyword 'legacy'; occurrences=1; lines=13","api/mcp/ui/country-brief-app.ts","Unknown; inspect surrounding code and changelog","Do not reactivate without an approved documented decision","Aggregated static keyword evidence. Manual review is required."
