"area","claim","status","filePath","symbolOrSection","verificationMethod","limitation"
"Arabic application root","No matching static evidence found.","No evidence found in static scan","","Arabic root language declaration","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"RTL application root","Static evidence found.","Static evidence found; requires manual and runtime verification","blog-site/src/content/blog/worldmonitor-in-21-languages-global-intelligence-for-everyone.md;CHANGELOG.md;public/offline.html;src/styles/main.css;src/styles/rtl-overrides.css","RTL root or layout direction","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Bidirectional isolation","Static evidence found.","Static evidence found; requires manual and runtime verification","public/pro/assets/clerk-BFsXHhEQ.js;src/styles/main.css","LTR isolation for mixed-direction values","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Logical CSS properties","Static evidence found.","Static evidence found; requires manual and runtime verification","pro-test/prerender.mjs;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;src/components/NewsPanel.ts;src/styles/main.css;src/styles/panels.css","Logical layout properties","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Physical left/right CSS","Static evidence found.","Static evidence found; requires manual and runtime verification","api/mcp/ui/market-radar-app.ts;api/mcp/ui/world-brief-app.ts;blog-site/src/styles/global.css;convex/broadcast/proLaunchEmailContent.ts;convex/payments/subscriptionEmails.ts;docs/climate-variant-full.md;docs/dev-artifacts/brief-palette-playground.html;docs/solutions/best-practices/test-guard-assertions-and-module-state-reset.md;e2e/brief-magazine.spec.ts;e2e/country-deep-dive-visibility.spec.ts;e2e/dashboard-news-request-budget.spec.ts;e2e/mobile-map-popup.spec.ts;e2e/prehydration-shell.spec.ts;e2e/widget-builder.spec.ts;index.html;mcp-grant.html;pro-test/prerender.mjs;pro-test/src/services/checkout.ts;pro-test/src/welcome-language.ts;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;public/pro/assets/index-Dr94wGgp.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;...+89 more","Potential RTL migration risk","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Arabic locale formatting","No matching static evidence found.","No evidence found in static scan","","Arabic locale-aware formatting","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Dubai timezone","Static evidence found.","Static evidence found; requires manual and runtime verification","src/components/WorldClockPanel.ts;src/config/geo-map.ts;src/services/notifications-settings.ts;src/utils/user-location.ts","Operational timezone indicator","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Reduced motion","Static evidence found.","Static evidence found; requires manual and runtime verification","public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;src/components/DeckGLMap.ts;src/services/celebration.ts;src/styles/happy-theme.css;src/styles/main.css;tests/map-trade-animation-loop.test.mjs","Reduced-motion support","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Visible focus","Static evidence found.","Static evidence found; requires manual and runtime verification","public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;src/styles/embed.css;src/styles/main.css;src/styles/route-explorer.css;tests/a11y-issue-5059-invariants.test.mjs","Visible keyboard focus support","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Responsive media queries","Static evidence found.","Static evidence found; requires manual and runtime verification","blog-site/src/styles/global.css;index.html;pro-test/prerender.mjs;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-eYnecI2g.css;public/pro/index.html;public/pro/welcome.html;server/_shared/brief-render.js;src/components/ForecastPanel.ts;src/components/ThreatTimelinePanel.ts;src/styles/country-deep-dive.css;src/styles/embed.css;src/styles/happy-theme.css;src/styles/main.css;src/styles/panels.css;src/styles/settings-window.css;src/utils/index.ts;tests/pro-critical-css.test.mjs;tests/skeleton-app-footprint-parity.test.mjs","Responsive behavior","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
"Accessible labels","Static evidence found.","Static evidence found; requires manual and runtime verification","api/mcp/billing-denial.ts;api/mcp/prompts/index.ts;api/oauth/authorize.js;e2e/a11y-landmarks-tablist.spec.ts;e2e/prehydration-shell.spec.ts;e2e/pro-activation.spec.ts;index.html;pro-test/prerender.mjs;pro-test/src/App.tsx;pro-test/src/components/Logo.tsx;pro-test/src/services/checkout.ts;pro-test/src/welcome/Nav.tsx;public/pro/assets/clerk-BFsXHhEQ.js;public/pro/assets/index-DINI84lR.js;public/pro/assets/index-Dr94wGgp.js;public/pro/assets/sentry-BCD7T6Eu.js;public/pro/assets/welcome-CR8kjeDt.js;public/pro/index.html;public/pro/welcome.html;scripts/_forecast-resolution.mjs;scripts/build-crawlable-corpus.mjs;scripts/build-research-reports.mjs;server/_shared/brief-render.js;settings.html;src/App.ts;...+94 more","Accessible names and labels","Deterministic scan of tracked text files","Visual, keyboard, screen-reader, and bidirectional correctness require runtime testing."
