area,claim,status,filePath,symbolOrSection,verificationMethod,limitation
Applications & Packages,World Monitor core monorepo application v2.10.0 licensed under AGPL-3.0-only,implemented and active,package.json,name/version/license,Static Manifest Audit,Requires runtime check for license compliance in third-party distributions
Applications & Packages,Blog site built with Astro in blog-site/ and integrated into public/blog/,implemented and active,package.json,scripts.build:blog,Static Manifest Audit,Blog dependencies installed separately in postinstall
Applications & Packages,Official worldmonitor CLI published to npm with zero-dependency ESM,implemented and active,cli/package.json,name/bin,Static Code Audit,Published version requires npm registry check
Applications & Packages,Pro QA and marketing application package in pro-test/,implemented and active,package.json,scripts.build:pro,Static Manifest Audit,Separate build artifact from main SPA
Applications & Packages,Python SDK worldmonitor-sdk published to PyPI,implemented and active,package.json,scripts.publish-python,Static CI Audit,PyPI package availability requires PyPI registry check
Applications & Packages,Ruby SDK worldmonitor gem published to RubyGems,implemented and active,package.json,scripts.publish-ruby,Static CI Audit,Gem availability requires RubyGems registry check
Applications & Packages,Go SDK module github.com/koala73/worldmonitor/sdk/go published,implemented and active,package.json,scripts.publish-go,Static CI Audit,Go module indexing requires pkg.go.dev check
Applications & Packages,Consumer prices core containerized Playwright collector,implemented and active,consumer-prices-core/Dockerfile,FROM node:22-alpine,Static Container Audit,Requires live container execution to verify scrapers
Applications & Packages,Tauri 2.x desktop shell with Node.js sidecar API server,implemented and active,src-tauri/tauri.conf.json,build/bundle,Static Manifest Audit,Desktop build requires multi-OS compilation
Applications & Packages,Cloudflare Worker api-cors-preflight handling edge CORS,implemented and active,workers/api-cors-preflight/wrangler.toml,name/main,Static Config Audit,Requires Cloudflare deployment verification
Applications & Packages,Convex BaaS managing user state and entitlements,implemented and active,convex/schema.ts,schema definition,Static Code Audit,Requires Convex Cloud deployment verification
Variants,6 application variants (full/tech/finance/commodity/happy/energy) supported via VITE_VARIANT,implemented and active,src/config/variant.ts,getVariant/configs,Static Code Audit,Hostname detection depends on DNS setup
Primary Entry Points,Browser SPA main entry point via src/main.ts and App.ts,implemented and active,index.html,script[src=/src/main.ts],Static Code Audit,Renders skeleton before JS hydration
Primary Entry Points,Live map embed entry point via public/embed.html and src/embed-main.ts,implemented and active,public/embed.html,script[src=/src/embed-main.ts],Static Code Audit,Embedded frame requires postMessage parent verification
Primary Entry Points,Live channels management entry point via public/live-channels.html,implemented and active,public/live-channels.html,script[src=/src/live-channels-main.ts],Static Code Audit,Requires YouTube live stream availability
Primary Entry Points,Desktop settings entry point via public/settings.html and src/settings-main.ts,implemented and active,public/settings.html,script[src=/src/settings-main.ts],Static Code Audit,Only accessible within Tauri desktop shell
Primary Entry Points,MCP grant consent entry point via public/mcp-grant.html and src/mcp-grant-main.ts,implemented and active,public/mcp-grant.html,script[src=/src/mcp-grant-main.ts],Static Code Audit,Requires active OAuth session
Primary Entry Points,Vercel Edge API gateway entries created via createDomainGateway,implemented and active,server/gateway.ts,createDomainGateway,Static Code Audit,Bundled per endpoint via esbuild
Primary Entry Points,Tauri Rust desktop main entry point spawning sidecar process,implemented and active,src-tauri/src/main.rs,main/sidecar spawn,Static Code Audit,Requires Rust/Cargo compilation
Primary Entry Points,Railway AIS relay entry point scripts/ais-relay.cjs managing WebSocket and seeds,implemented and active,scripts/ais-relay.cjs,main relay loop,Static Code Audit,Requires Railway container execution
Frontend Frameworks,Vanilla TypeScript component model with 107 Panel subclasses,implemented and active,src/components/Panel.ts,Panel class,Static Code Audit,Debounced setContent rendering (150ms)
Frontend Frameworks,Selective Preact usage for lightweight UI widgets and deck.gl widgets,implemented and active,package.json,dependencies.preact,Static Manifest Audit,Not used as primary SPA framework
Frontend Frameworks,Vite 6 build system with Tailwind CSS v4 integration,implemented and active,vite.config.ts,plugins/config,Static Code Audit,HMR disabled via DISABLE_HMR env var
Frontend Frameworks,TypeScript strict mode with separate API and DOM tsconfigs,implemented and active,tsconfig.json,compilerOptions,Static Config Audit,Requires tsc execution for type errors
Frontend Frameworks,esbuild bundling for server and sidecar entry points,implemented and active,package.json,scripts.build:desktop,Static Manifest Audit,Requires esbuild binary
Frontend Frameworks,PWA Service Worker generated by vite-plugin-pwa with cache nuke fallback,implemented and active,package.json,devDependencies.vite-plugin-pwa,Static Manifest Audit,Requires SW registration in browser
Frontend Frameworks,Biome linter and markdownlint enforcement in build pipeline,implemented and active,biome.json,linter.rules,Static Config Audit,Requires biome CLI execution
Backend & Edge,Vercel Edge Functions serving self-contained JS bundles under api/,implemented and active,vercel.json,rewrites/headers,Static Config Audit,Function size limited by Vercel edge limits
Backend & Edge,Gateway pipeline enforcing CORS rate-limiting and ETag revalidation,implemented and active,server/gateway.ts,createDomainGateway pipeline,Static Code Audit,Upstash Redis sliding window rate limits
Backend & Edge,Edge middleware filtering crawler traffic and serving OG previews,implemented and active,middleware.ts,middleware handler,Static Code Audit,Requires Vercel Edge Middleware runtime
Backend & Edge,Railway AIS relay proxying live vessel WebSocket streams,implemented and active,scripts/ais-relay.cjs,WebSocket proxy,Static Code Audit,Requires AISStream API key for live feed
Backend & Edge,Convex BaaS managing Dodo Payments billing and vector memory,implemented and active,convex/schema.ts,tables definition,Static Code Audit,Requires Convex Cloud deployment
Backend & Edge,Browser Web Workers for Jaccard news clustering and ONNX ML inference,implemented and active,src/workers/ml.worker.ts,worker message handler,Static Code Audit,Requires Web Worker browser support
Map Renderers,Dual map system with DeckGLMap (2D flat WebGL) and GlobeMap (3D globe),implemented and active,src/components/DeckGLMap.ts,DeckGLMap class,Static Code Audit,Requires WebGL 2.0 browser context
Map Renderers,56 map layer definitions registered in src/config/map-layer-definitions.ts,implemented and active,src/config/map-layer-definitions.ts,MAP_LAYER_DEFINITIONS,Static Code Audit,Some layers require API keys or seed data
Map Renderers,PMTiles basemap hosting on Cloudflare R2 with OpenFreeMap fallback,implemented and active,ARCHITECTURE.md,Section 3 / Section 2,Static Doc Audit,R2 CDN reachability requires network
Layer Registries & Panels,181 top-level component files and 107 Panel subclasses registered,implemented and active,src/config/panels.ts,PANEL_CONFIGS,Static Code Audit,Panel rendering dependent on data hydration
Layer Registries & Panels,LayoutManager managing resizable grid spans and plan-based tab caps,implemented and active,src/app/panel-layout.ts,LayoutManager class,Static Code Audit,Tab creation capped by entitlement tier
Layer Registries & Panels,Route Explorer full-screen trade/chokepoint route planning modal,implemented and active,CHANGELOG.md,Route Explorer entry,Static Doc Audit,Requires user trigger via CMD+K
API & Contracts,sebuf v0.11.1 Proto-first RPC framework with generated client/server stubs,implemented and active,Makefile,SEBUF_VERSION,Static Config Audit,Generated code checked via proto-check workflow
API & Contracts,OpenAPI v3.1 unified spec docs/api/worldmonitor.openapi.yaml with 190 operations,implemented and active,docs/api/worldmonitor.openapi.yaml,openapi definition,Static Spec Audit,Generated via protoc-gen-openapiv3
API & Contracts,MCP Server at /api/mcp.ts with 59 tools registered in server-card.json,implemented and active,public/.well-known/mcp/server-card.json,tools array,Static Manifest Audit,Tool execution requires authorization key
API & Contracts,Operational non-proto endpoints listed in api/api-route-exceptions.json,implemented and active,api/api-route-exceptions.json,exceptions array,Static Config Audit,Enforced via lint:api-contract
Caching & Persistence,6 cache tiers (fast/medium/slow/static/daily/no-store) in gateway,implemented and active,server/_shared/redis.ts,CACHE_TIERS,Static Code Audit,Requires Upstash Redis connection
Caching & Persistence,Atomic seed publishing with SET NX locks and seed-meta tracking,implemented and active,scripts/_seed-utils.mjs,atomicPublish,Static Code Audit,Requires Redis write permissions
Caching & Persistence,/api/bootstrap two-tier concurrent hydration for fast and slow keys,implemented and active,api/bootstrap.js,handler,Static Code Audit,Hydration cache populated on boot
Caching & Persistence,Last-Known-Good digest retention in IndexedDB/localStorage,implemented and active,CONCEPTS.md,Last-Good Digest,Static Doc Audit,Requires browser local storage availability
PWA & Desktop,PWA manifest and Service Worker with SW nuke cache recovery,implemented and active,package.json,devDependencies.vite-plugin-pwa,Static Manifest Audit,SW registration requires HTTPS
PWA & Desktop,Tauri 2.x desktop shell with Rust main process and Node.js sidecar,implemented and active,src-tauri/sidecar/local-api-server.mjs,local API server,Static Code Audit,Requires local sidecar port binding
PWA & Desktop,installRuntimeFetchPatch redirecting browser fetch to local sidecar,implemented and active,src/services/runtime.ts,installRuntimeFetchPatch,Static Code Audit,Requires valid 5-min bearer token
PWA & Desktop,OS Platform Keyring secrets vault storing secrets in platform keychain,implemented and active,CHANGELOG.md,Keychain vault entry,Static Doc Audit,Requires platform keyring daemon
Auth & Entitlements,Clerk authentication integration for user accounts and sessions,implemented and active,package.json,dependencies.@clerk/clerk-js,Static Manifest Audit,Requires Clerk Publishable Key
Auth & Entitlements,Origin-aware API key validation exempting trusted browser origins,implemented and active,api/_api-key.js,validateApiKey,Static Code Audit,Requires API key for non-browser origins
Auth & Entitlements,5 entitlement plan tiers (Free/Pro/Pro Business/API/Enterprise),implemented and active,index.html,schema.json offers,Static Config Audit,Dodo Payments checkout integration
Localization,i18next framework supporting 26 locales with key parity check,implemented and active,package.json,scripts.sync:locales:check,Static Manifest Audit,Translations stored in src/locales/
Localization,Arabic RTL layout support with Tajawal font and direction overrides,implemented and active,package.json,dependencies.@fontsource/tajawal,Static Manifest Audit,Requires ar locale selection
AI & ML,Server-side Gemini AI integration via @google/genai for summaries and insights,implemented and active,package.json,dependencies.@google/genai,Static Manifest Audit,Requires GEMINI_API_KEY env var
AI & ML,4-tier summarization fallback chain (Ollama/Groq/OpenRouter/Transformers.js),implemented and active,CHANGELOG.md,AI summarization chain,Static Doc Audit,Local Ollama requires localhost:11434
Testing & Quality,node:test runner for unit/integration tests and Playwright for E2E/visual,implemented and active,package.json,scripts.test:data / test:e2e,Static Manifest Audit,Requires Playwright browser binaries
Testing & Quality,Two-tiered pre-push hook with green-tree cache in .husky/pre-push,implemented and active,AGENTS.md,Pre-Push Hook section,Static Doc Audit,Cache stored in $GIT_DIR/wm-prepush-green
Deployment,Multi-cloud topology (Vercel/Cloudflare/Railway/Upstash/Convex/GHCR),implemented and active,ARCHITECTURE.md,Section 2 / Section 11,Static Doc Audit,Requires multi-platform deployment credentials
Licensing & Attribution,AGPL-3.0-only license with Wingbits/OpenSky/ACLED/NASA attributions,implemented and active,README.md,License & Data Sources,Static Doc Audit,AGPL terms require source disclosure on fork
Runtime Verification,Live Railway AIS WebSocket stream throughput and queue backpressure,requires runtime verification,scripts/ais-relay.cjs,WebSocket proxy,Runtime Inspection,Requires live load test with >10000 vessels
Runtime Verification,Upstash Redis cache miss coalescing under heavy concurrent load,requires runtime verification,server/_shared/redis.ts,cachedFetchJson,Runtime Inspection,Requires concurrent load test on edge functions
Runtime Verification,Cloudflare Apex redirect exemption evaluation for /mcp without 301,requires runtime verification,ARCHITECTURE.md,Section 2,Runtime Inspection,Requires live HTTP probe against apex domain
