"name","command"
"audit:convex-string-calls","node scripts/audit-convex-string-calls.cjs"
"audit:dodo-catalog","node scripts/audit-dodo-catalog.cjs"
"build","npm run security:vite-env-secrets -- --strict-local && npm run build:blog && npm run build:crawlable-corpus && npm run build:sitemap && tsc && vite build"
"build:agent-skills","node scripts/build-agent-skills-index.mjs"
"build:blog","cd blog-site && npm run build && rm -rf ../public/blog && mkdir -p ../public/blog && cp -r dist/* ../public/blog/"
"build:commodity","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && cross-env-shell VITE_VARIANT=commodity ""tsc && vite build"""
"build:crawlable-corpus","node --import tsx scripts/build-crawlable-corpus.mjs"
"build:desktop","npm run security:vite-env-secrets -- --strict-local && node scripts/build-sidecar-sebuf.mjs && node scripts/build-sidecar-handlers.mjs && tsc && vite build"
"build:energy","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && cross-env-shell VITE_VARIANT=energy ""tsc && vite build"""
"build:finance","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && cross-env-shell VITE_VARIANT=finance ""tsc && vite build"""
"build:full","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && npm run build:blog && npm run build:crawlable-corpus && npm run build:sitemap && cross-env-shell VITE_VARIANT=full ""tsc && vite build"""
"build:happy","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && cross-env-shell VITE_VARIANT=happy ""tsc && vite build"""
"build:openapi","node -e ""require('fs').cpSync('docs/api/worldmonitor.openapi.yaml', 'public/openapi.yaml')"" && node scripts/build-openapi-json.mjs"
"build:pro","cd pro-test && npm ci && npm run build"
"build:sidecar-sebuf","node scripts/build-sidecar-sebuf.mjs"
"build:sitemap","node scripts/build-sitemap.mjs"
"build:sitemap:check","npm run build:crawlable-corpus && node scripts/build-sitemap.mjs --check"
"build:tech","npm run security:vite-env-secrets -- --strict-local && npm run build:openapi && npm run build:agent-skills && cross-env-shell VITE_VARIANT=tech ""tsc && vite build"""
"desktop:build:finance","npm run security:vite-env-secrets -- --strict-local && npm run desktop:check-env && npm run version:sync && cross-env VITE_VARIANT=finance VITE_DESKTOP_RUNTIME=1 tauri build --config src-tauri/tauri.finance.conf.json"
"desktop:build:full","npm run security:vite-env-secrets -- --strict-local && npm run desktop:check-env && npm run version:sync && cross-env VITE_VARIANT=full VITE_DESKTOP_RUNTIME=1 tauri build"
"desktop:build:tech","npm run security:vite-env-secrets -- --strict-local && npm run desktop:check-env && npm run version:sync && cross-env VITE_VARIANT=tech VITE_DESKTOP_RUNTIME=1 tauri build --config src-tauri/tauri.tech.conf.json"
"desktop:check-env","node scripts/check-desktop-build-env.mjs"
"desktop:check-rust-floors","node scripts/check-rust-security-floors.mjs"
"desktop:dev","npm run version:sync && cross-env VITE_DESKTOP_RUNTIME=1 tauri dev -f devtools"
"desktop:package","node scripts/desktop-package.mjs"
"desktop:package:macos:full","node scripts/desktop-package.mjs --os macos --variant full"
"desktop:package:macos:full:sign","node scripts/desktop-package.mjs --os macos --variant full --sign"
"desktop:package:macos:tech","node scripts/desktop-package.mjs --os macos --variant tech"
"desktop:package:macos:tech:sign","node scripts/desktop-package.mjs --os macos --variant tech --sign"
"desktop:package:windows:full","node scripts/desktop-package.mjs --os windows --variant full"
"desktop:package:windows:full:sign","node scripts/desktop-package.mjs --os windows --variant full --sign"
"desktop:package:windows:tech","node scripts/desktop-package.mjs --os windows --variant tech"
"desktop:package:windows:tech:sign","node scripts/desktop-package.mjs --os windows --variant tech --sign"
"dev","vite"
"dev:commodity","cross-env VITE_VARIANT=commodity vite"
"dev:energy","cross-env VITE_VARIANT=energy vite"
"dev:finance","cross-env VITE_VARIANT=finance vite"
"dev:happy","cross-env VITE_VARIANT=happy vite"
"dev:tech","cross-env VITE_VARIANT=tech vite"
"docs:check","node scripts/docs-stats.mjs --check"
"docs:stats","node scripts/docs-stats.mjs"
"dryrun:resilience","node --import tsx/esm scripts/dry-run-resilience-rebalance.mjs"
"gen:openapi:async-jobs","node scripts/openapi-inject-async-jobs.mjs"
"gen:openapi:china-decision-signals","node scripts/openapi-inject-china-decision-signals.mjs"
"gen:openapi:deprecated","node scripts/openapi-inject-deprecated.mjs"
"gen:openapi:examples","node scripts/openapi-inject-examples.mjs"
"gen:openapi:idempotency","node scripts/openapi-inject-idempotency.mjs"
"gen:openapi:jmespath","node scripts/openapi-inject-jmespath.mjs"
"gen:openapi:rate-limit-errors","node scripts/openapi-inject-rate-limit-errors.mjs"
"gen:openapi:required","node scripts/openapi-inject-required.mjs"
"gen:openapi:security","node scripts/openapi-inject-security.mjs"
"gen:openapi:servers","node scripts/openapi-inject-servers.mjs"
"gen:openapi:webhooks","node scripts/openapi-inject-webhooks.mjs"
"lint","biome lint ./src ./server ./api ./tests ./e2e ./scripts ./middleware.ts && npm run lint:safe-html"
"lint:api-contract","node scripts/enforce-sebuf-api-contract.mjs"
"lint:boundaries","node scripts/lint-boundaries.mjs"
"lint:fix","biome check ./src ./server ./api ./tests ./e2e ./scripts ./middleware.ts --fix"
"lint:md","markdownlint-cli2 '**/*.md' '!**/node_modules/**' '!.agent/**' '!.agents/**' '!.claude/**' '!.factory/**' '!.windsurf/**' '!skills/**' '!docs/internal/**' '!docs/Docs_To_Review/**' '!docs/archive/**' '!todos/**' '!docs/plans/**' '!docs/brainstorms/**' '!docs/ideation/**'"
"lint:mintlify-slugs","node scripts/enforce-mintlify-reserved-slugs.mjs"
"lint:premium-fetch","tsx scripts/enforce-premium-fetch.mjs"
"lint:public-docs","node scripts/check-public-doc-plan-references.mjs"
"lint:rate-limit-policies","tsx scripts/enforce-rate-limit-policies.mjs"
"lint:safe-html","node scripts/enforce-safe-html.mjs"
