"tokenOrValue","tokenType","filePath","officialMappingStatus","rtlImpact","notes"
"#4698","Hex colour","api/[...notfound].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4724","Hex colour","api/[...notfound].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4838","Hex colour","api/_agent-tool-suggest.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3541","Hex colour","api/_api-key.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3554","Hex colour","api/_api-key.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5386","Hex colour","api/_bootstrap-tier-keys.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3531","Hex colour","api/_client-ip.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4504","Hex colour","api/_convex-error.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","api/_cors.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3646","Hex colour","api/_mcp-grant-hmac.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3963","Hex colour","api/_rate-limit.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3531","Hex colour","api/_rate-limit.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3541","Hex colour","api/_session.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3557","Hex colour","api/_session.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/_user-api-key.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5866","Hex colour","api/_wildfire-dashboard.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4824","Hex colour","api/a2a.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5386","Hex colour","api/bootstrap.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4499","Hex colour","api/bootstrap.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5259","Hex colour","api/bootstrap.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5287","Hex colour","api/bootstrap.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","api/bootstrap.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"Georgia, serif","Font family declaration","api/brief/[userId]/[issueDate].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","api/brief/[userId]/[issueDate].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f2ede4","Hex colour","api/brief/[userId]/[issueDate].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3660","Hex colour","api/brief/carousel/[userId]/[issueDate]/[page].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"Georgia, serif","Font family declaration","api/brief/public/[hash].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","api/brief/public/[hash].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f2ede4","Hex colour","api/brief/public/[hash].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/brief/share-url.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5619","Hex colour","api/chat-analyst.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5608","Hex colour","api/chat-analyst.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3531","Hex colour","api/chat-analyst.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","api/create-checkout.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"system-ui","Font family declaration","api/discord/oauth/callback.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/discord/oauth/start.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5300","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4920","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5695","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5736","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5554","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5875","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6060","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5099","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5233","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5525","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3613","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3669","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3764","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4927","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6070","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6059","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6022","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4867","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4856","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2699","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3845","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4907","Hex colour","api/health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4944","Hex colour","api/internal/brief-why-matters.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4893","Hex colour","api/internal/brief-why-matters.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4983","Hex colour","api/internal/brief-why-matters.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5168","Hex colour","api/internal/brief-why-matters.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","api/internal/mcp-grant-context.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","api/internal/mcp-grant-mint.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/internal/mcp-grant-mint.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/latest-brief.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4944","Hex colour","api/market/v1/[rpc].ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3768","Hex colour","api/mcp-proxy.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3805","Hex colour","api/mcp-proxy.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3821","Hex colour","api/mcp-proxy.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5061","Hex colour","api/mcp-proxy.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3723","Hex colour","api/mcp-proxy.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4859","Hex colour","api/mcp/auth.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4611","Hex colour","api/mcp/auth.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4860","Hex colour","api/mcp/auth.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","api/mcp/billing-denial.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3658","Hex colour","api/mcp/constants.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3662","Hex colour","api/mcp/constants.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3677","Hex colour","api/mcp/constants.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3678","Hex colour","api/mcp/constants.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5743","Hex colour","api/mcp/constants.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6080","Hex colour","api/mcp/dispatch.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3678","Hex colour","api/mcp/dispatch.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4859","Hex colour","api/mcp/dispatch.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","api/mcp/dispatch.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3678","Hex colour","api/mcp/filters.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4937","Hex colour","api/mcp/handler.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4502","Hex colour","api/mcp/handler.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4866","Hex colour","api/mcp/handler.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4860","Hex colour","api/mcp/handler.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4802","Hex colour","api/mcp/handler.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4937","Hex colour","api/mcp/prompts/index.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5864","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5863","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3658","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4293","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6080","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3613","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6060","Hex colour","api/mcp/registry/cache-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3678","Hex colour","api/mcp/registry/index.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5697","Hex colour","api/mcp/registry/nlp-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
